4/15/2022 3:15:54 PM,Bàn 8,Nước 2,1,2000
4/15/2022 3:16:33 PM,Bàn 11,Nước 2,1,2000
4/15/2022 3:40:29 PM,Bàn 10,Nước 2,1,2000
4/15/2022 3:46:27 PM,Bàn 7,Nước 2,5,2000
4/15/2022 3:46:29 PM,Bàn 8,Nước 2,5,2000
4/15/2022 3:46:29 PM,Bàn 8,Nước 3,2,60000
4/15/2022 3:46:29 PM,Bàn 8,234,4,234
4/15/2022 3:46:35 PM,Bàn 10,234,3,234
4/15/2022 4:31:18 PM,Bàn 2,Nước 3,8,60000
4/15/2022 4:31:18 PM,Bàn 2,Cơm 5,8,1000
4/15/2022 4:31:21 PM,Bàn 1,Cơm,1,1000
4/15/2022 4:32:11 PM,Bàn 1,Cơm,12,1000
4/15/2022 4:43:53 PM,Bàn 1,Nước 3,7,60000
4/15/2022 4:43:58 PM,Bàn 2,Nước 3,9,60000
4/15/2022 4:44:01 PM,Bàn 3,Nước 3,7,60000
4/15/2022 4:44:08 PM,Bàn 4,Cơm2,4,3000
4/15/2022 4:44:08 PM,Bàn 4,Cơm 6,4,1000
